i,site
1841,186-93164
1537,186-93247
843,186-93298
314,186-93400
424,186-93438
1410,186-93450
1589,186-93453
946,186-93486
534,186-93490
1380,186-93497
22,187-93533
456,187-93601
1235,187-93679
593,187-93796
870,187-93800
633,187-93910
1298,187-93917
1641,187-93927
1070,187-93960
319,1-888
608,188-94016
1546,188-94018
856,188-94093
1493,188-94122
858,188-94203
1728,188-94255
171,188-94356
390,188-94396
1286,188-94412
940,188-94442
853,18-9037
1343,18-9050
746,18-9208
71,18-9241
1867,18-9292
1289,18-9311
135,18-9335
1223,18-9369
907,18-9430
387,189-94535
1199,189-94662
1231,189-94688
1804,189-94708
672,189-94753
1876,189-94769
124,189-94833
474,189-94834
635,189-94909
1880,190-95087
270,190-95103
951,190-95229
1605,190-95362
1347,190-95391
1291,190-95428
1013,190-95458
1625,190-95481
1463,191-95502
1646,191-95529
1195,191-95697
1796,191-95706
1064,191-95733
944,191-95796
1331,192-96057
241,192-96142
999,192-96190
1461,192-96206
1814,192-96249
396,192-96406
388,192-96445
1760,192-96486
275,1-933
1265,193-96541
1643,193-96551
188,193-96552
514,193-96554
1974,193-96652
327,193-96689
104,193-96696
78,193-96715
1001,193-96993
1674,194-97040
653,194-97059
305,194-97081
1260,194-97115
1692,194-97185
1312,194-97191
1272,194-97236
1449,194-97331
1745,194-97437
1051,194-97468
1483,195-97525
1191,195-97536
1723,195-97590
1619,195-97694
1990,195-97757
1431,195-97771
1,195-97779
232,195-97904
1595,195-97927
461,195-97984
1983,195-97994
1680,196-98047
1795,196-98163
246,196-98168
1352,196-98379
1665,196-98450
663,196-98477
1174,197-98533
1083,197-98596
956,197-98610
1763,197-98635
550,197-98656
1936,197-98669
1648,197-98725
341,197-98726
1252,197-98747
193,197-98856
1251,197-98931
1971,197-98951
1862,198-99085
185,198-99107
391,198-99208
1133,198-99231
486,198-99280
495,198-99325
694,198-99359
1353,198-99489
59,1-993
652,19-9537
585,19-9653
1396,19-9712
1788,19-9753
794,19-9755
917,19-9759
211,19-9766
38,19-9803
1333,19-9809
812,19-9897
1204,19-9906
998,19-9941
1187,19-9977
1612,199-99703
1281,199-99764
1008,199-99873
312,199-99966
719,199-99970
1364,200-100036
1014,200-100180
94,200-100326
172,200-100364
1752,200-100418
291,200-100429
1715,200-100449
400,200-100496
109,20-10016
1572,20-10044
1622,20-10072
543,20-10090
1162,20-10121
1732,20-10214
1146,20-10219
239,20-10255
1193,20-10492
162,201-100515
201,201-100556
1200,201-100587
130,201-100647
404,201-100728
808,201-100871
88,201-100900
1127,202-101180
546,202-101220
1631,202-101231
1469,202-101242
681,202-101250
306,202-101297
1928,202-101335
458,202-101347
1452,202-101359
1432,202-101474
1716,203-101532
136,203-101568
335,203-101620
555,203-101655
674,203-101672
1832,203-101679
1047,203-101690
465,203-101892
1020,203-101906
133,203-101939
1691,204-102042
1158,204-102045
826,204-102096
