,c
986,15012
987,110631
988,69228
989,22982
990,96745
991,50059
992,76068
993,119753
994,72199
995,30230
996,99553
997,73320
998,25293
999,107516
1000,52783
1001,28211
1002,83803
1003,81941
1004,95356
1005,117921
1006,34137
1007,106413
1008,13833
1009,23501
1010,43521
1011,85605
1012,68306
1013,23564
1014,30606
1015,83223
1016,103679
1017,125296
1018,106415
1019,14606
1020,17765
1021,68821
1022,121519
1023,83574
1024,80357
1025,16886
1026,125215
1027,71639
1028,103782
1029,61538
1030,92379
1031,41333
1032,73911
1033,12954
1034,94812
1035,108641
1036,65896
1037,84996
1038,114120
1039,6471
1040,115939
1041,120040
1042,24544
1043,66725
1044,70109
1045,4846
1046,4574
1047,72181
1048,123819
1049,79252
1050,88531
1051,94647
1052,104453
1053,98269
1054,602
1055,40643
1056,69726
1057,68872
1058,47497
1059,6964
1060,29164
1061,17432
1062,101665
1063,49800
1064,26314
1065,117486
1066,110378
1067,30519
1068,27465
1069,101397
1070,8739
1071,82989
1072,12474
1073,27387
1074,11520
1075,49352
1076,118897
1077,91741
1078,115478
1079,4861
1080,75607
1081,45983
1082,77924
1083,71661
1084,6587
1085,50121
1086,34767
1087,113717
1088,4988
1089,118321
1090,81393
1091,60644
1092,57902
1093,112927
1094,31519
1095,107354
1096,97130
1097,44946
1098,28272
1099,118672
1100,75563
1101,44931
1102,434
1103,71597
1104,22564
1105,62236
1106,111487
1107,28371
1108,44366
1109,745
1110,72361
1111,34856
1112,5687
1113,34269
1114,118296
1115,76980
1116,9417
1117,107105
1118,75281
1119,107706
1120,88302
1121,122837
1122,57845
1123,54466
1124,68257
1125,29564
1126,49403
1127,17889
1128,115307
1129,125710
1130,31526
1131,26868
1132,106549
1133,46220
1134,92908
1135,47121
1136,52010
1137,75669
1138,45056
1139,56937
1140,76564
1141,113514
1142,90127
1143,93621
1144,101658
1145,77251
1146,101695
1147,76645
1148,70394
1149,85340
1150,104347
1151,43832
1152,71085
1153,61459
1154,92819
1155,53874
1156,76081
1157,108659
1158,101859
1159,58150
1160,64816
1161,73644
1162,14823
1163,74618
1164,79108
1165,62205
1166,124456
1167,2482
1168,30715
1169,15144
1170,70189
1171,122599
1172,81682
1173,74969
1174,70341
1175,77727
1176,70130
1177,80921
1178,46248
1179,79190
1180,93837
1181,38917
1182,13441
1183,61919
1184,35809
1185,65506
1186,47998
1187,1064
1188,34885
1189,64000
1190,27311
1191,42000
1192,60796
1193,117297
1194,1534
1195,39910
1196,48223
1197,58929
1198,70607
1199,10907
1200,27815
1201,32539
1202,101870
1203,103183
1204,70992
1205,126492
1206,61615
1207,44609
1208,117532
1209,46403
1210,90111
1211,76201
1212,76642
1213,368
1214,69757
1215,5508
1216,16622
1217,84349
1218,899
1219,902
1220,22002
1221,4262
1222,26340
1223,108799
1224,53897
1225,80407
1226,85744
1227,102389
1228,116836
1229,91356
1230,10588
1231,40806
1232,62833
1233,72540
1234,67175
1235,94208
1236,87189
1237,95229
1238,125572
1239,42612
1240,36419
1241,108026
1242,36475
1243,116159
1244,6407
1245,16020
1246,20302
1247,11860
1248,112223
1249,98615
1250,85082
1251,114913
1252,69469
1253,63564
1254,19308
