site,i
199-99538-12,1134
8-4450-12,1135
49-24546-12,1136
163-81928-12,1137
174-87466-12,1138
97-48862-12,1139
137-68565-12,1140
154-77025-12,1141
240-120337-12,1142
147-73631-12,1143
117-58632-12,1144
11-5710-12,1145
46-23492-12,1146
61-30953-12,1147
21-10555-12,1148
103-51690-12,1149
105-52811-12,1150
177-88760-12,1151
52-26046-12,1152
138-69278-12,1153
29-14873-12,1154
90-45184-12,1155
74-37022-12,1156
239-119792-12,1157
94-47183-12,1158
82-41402-12,1159
97-48851-12,1160
102-51405-12,1161
24-12444-12,1162
47-23843-12,1163
118-59375-12,1164
228-114405-12,1165
211-105601-12,1166
152-76135-12,1167
51-25576-12,1168
227-113799-12,1169
0-1-12,1170
0-325-12,1171
206-103199-12,1172
169-84834-12,1173
207-103716-12,1174
94-47113-12,1175
154-77477-12,1176
228-114203-12,1177
67-33763-12,1178
192-96476-12,1179
89-44915-12,1180
53-26942-12,1181
75-37735-12,1182
248-124416-12,1183
242-121273-12,1184
81-40885-12,1185
145-72763-12,1186
187-93894-12,1187
199-99661-12,1188
57-28891-12,1189
92-46344-12,1190
66-33155-12,1191
134-67172-12,1192
96-48104-12,1193
141-70966-12,1194
51-25594-12,1195
98-49225-12,1196
85-42806-12,1197
56-28146-12,1198
66-33430-12,1199
141-70728-12,1200
19-9637-12,1201
211-105615-12,1202
59-29756-12,1203
68-34007-12,1204
64-32229-12,1205
111-55592-12,1206
161-80602-12,1207
227-113853-12,1208
107-53632-12,1209
41-20803-12,1210
150-75250-12,1211
231-115808-12,1212
26-13313-12,1213
193-96998-12,1214
102-51000-12,1215
227-113775-12,1216
84-42365-12,1217
213-106810-12,1218
104-52300-12,1219
17-8910-12,1220
216-108431-12,1221
18-9213-12,1222
145-72671-12,1223
6-3188-12,1224
129-64505-12,1225
89-44742-12,1226
95-47935-12,1227
142-71030-12,1228
112-56473-12,1229
123-61768-12,1230
115-57795-12,1231
173-86685-12,1232
73-36616-12,1233
141-70530-12,1234
172-86175-12,1235
65-32792-12,1236
20-10124-12,1237
10-5276-12,1238
187-93789-12,1239
129-64833-12,1240
9-4835-12,1241
12-6174-12,1242
223-111513-12,1243
190-95451-12,1244
35-17525-12,1245
58-29382-12,1246
91-45769-12,1247
156-78010-12,1248
36-18175-12,1249
